start_time,speed,age,gender
01-31 23:30:58,15.01,54,2
01-31 22:57:24,19.91,37,1
01-31 22:37:29,16.37,30,1
01-31 22:18:05,16.67,25,1
01-31 21:43:30,14.14,33,1
01-31 21:28:18,9.58,40,1
01-31 21:21:39,8.64,43,2
01-31 21:25:21,20.15,39,2
01-31 21:10:43,10.46,49,2
01-31 21:12:52,23.54,25,1
01-31 20:46:28,18.89,34,1
01-31 20:28:01,3.96,31,3
01-31 20:34:00,9.88,43,2
01-31 20:17:54,10.39,41,1
01-31 20:24:36,9.15,55,1
01-31 20:12:29,14.88,35,1
01-31 20:11:13,11.42,29,1
01-31 20:10:18,13.47,36,1
01-31 20:02:11,15.08,28,1
01-31 19:51:00,14.47,31,1
01-31 19:53:27,13.93,29,2
01-31 19:49:44,9.75,39,1
01-31 19:41:56,13.99,27,1
01-31 19:36:53,8.41,28,1
01-31 19:31:22,10.72,30,1
01-31 19:32:42,9.64,35,2
01-31 19:08:20,12.43,31,1
01-31 19:23:04,12.19,29,1
01-31 19:09:55,11.95,33,1
01-31 19:09:56,11.34,24,1
01-31 19:13:10,14.92,30,2
01-31 18:51:57,13.24,48,1
01-31 19:06:25,13.94,22,1
01-31 18:59:08,15.36,27,1
01-31 18:50:24,11.39,43,2
01-31 18:48:51,17.33,29,2
01-31 18:53:10,14.05,24,1
01-31 18:44:19,11.23,32,1
01-31 18:41:36,13.74,36,1
01-31 18:42:15,8.93,46,1
01-31 18:40:29,9.33,25,1
01-31 18:34:31,9.03,30,2
01-31 18:34:39,9.74,26,3
01-31 18:26:00,10.82,29,1
01-31 18:17:57,15.70,33,2
01-31 18:15:49,12.83,40,1
01-31 18:13:29,2.16,32,1
01-31 18:29:03,14.27,34,1
01-31 18:17:51,5.95,30,2
01-31 18:21:32,18.30,24,1
01-31 18:18:44,13.41,25,1
01-31 18:17:36,15.69,62,1
01-31 18:14:28,12.27,35,1
01-31 18:03:34,10.25,29,1
01-31 16:00:51,0.52,25,2
01-31 18:07:28,11.58,53,1
01-31 18:08:13,14.55,39,1
01-31 17:59:00,7.16,27,2
01-31 18:04:10,10.09,45,1
01-31 17:59:03,14.33,32,1
01-31 17:59:23,13.66,30,1
01-31 17:59:24,13.66,43,1
01-31 17:48:29,8.79,24,2
01-31 17:47:23,7.21,40,1
01-31 17:52:40,24.87,50,1
01-31 17:45:16,11.78,33,1
01-31 17:39:29,9.68,35,1
01-31 17:45:05,17.17,51,1
01-31 17:43:23,16.13,41,1
01-31 17:44:27,16.62,27,1
01-31 17:23:05,13.97,38,1
01-31 17:31:08,9.70,44,1
01-31 17:39:56,22.14,30,1
01-31 17:21:22,11.48,25,2
01-31 17:36:36,14.93,35,1
01-31 17:22:46,13.23,25,1
01-31 17:31:26,11.52,39,2
01-31 17:19:57,19.13,33,3
01-31 17:16:12,12.75,30,2
01-31 17:21:35,22.26,32,2
01-31 17:12:27,13.49,45,1
01-31 17:04:37,8.21,22,1
01-31 17:21:48,14.57,22,1
01-31 17:14:50,9.22,25,1
01-31 17:17:33,20.42,46,2
01-31 17:14:54,14.72,37,1
01-31 17:07:06,10.57,49,1
01-31 17:15:25,17.69,39,1
01-31 17:10:59,14.05,29,1
01-31 17:11:11,7.53,54,1
01-31 17:01:30,16.95,36,1
